action	reward
0	3.16207298341306
1	0.17735319182304865
2	0.29830276735556926
0	2.759550481611835
2	0.0
1	0.0
0	0.6776249066275237
2	0.0
1	0.43091206068443144
0	0.025680964733613143
1	0.0
0	1.1897317420121056
2	0.0
0	2.6238721715765383
1	0.0
2	0.0
0	1.7310509584798082
0	0.9580254117055872
1	0.0
2	0.0
0	1.4793309689546423
1	0.18890636475445843
2	0.0
0	0.7442886335936598
0	0.9896593558341125
1	0.6756392228496231
2	0.0
0	1.5880621215510085
1	0.0
2	0.09344593349461805
0	0.0
1	0.3582312185913814
0	0.6284762624357654
2	0.4165709623150299
1	0.9584644009640338
0	0.6209354652000495
2	0.0
1	0.0
0	1.3436519634454094
2	0.0
0	1.2086314935472757
1	0.6013821213404011
0	3.56183643319872
0	0.75302864440946
2	0.0
1	0.6596072674909493
0	0.9172632996428407
2	0.5993159922695809
1	0.13476145162112996
0	1.2085004265887218
0	0.20314308186162178
2	0.0
1	0.32133769545352076
0	1.0144585282080323
2	0.0
1	0.0
0	0.5547696198165065
2	0.0
1	0.0
0	0.6373579328774903
0	0.35354893357318584
2	0.0
1	1.1165947938970948
0	2.096745514957466
1	0.0
0	1.950498174962072
2	0.0
0	2.066384117139143
0	0.4093610338226653
1	0.7060968675662809
2	0.0
0	0.36767942473700777
1	0.2671989318362714
2	0.0
0	0.7162343386648546
1	0.12765638766488252
0	0.4229460447715928
2	0.0
1	0.0
0	1.5627317863894354
0	0.21545345317297848
2	0.0
1	0.0
0	0.6702700751721908
2	0.9578419522589532
1	0.07389597584523522
0	0.5034709653967355
2	0.0
0	2.875172820110107
0	1.959251697702987
1	0.6283084586743911
0	0.23888801272682025
2	0.0
1	0.0
0	1.7312394988797182
0	1.994675445394007
2	0.0
1	0.35622164118008504
0	0.6520981168659544
0	2.2333256717817482
2	0.0
1	0.21213914882577256
0	0.8794320598717107
0	0.5513756583147158
1	0.0
2	0.0
0	2.7573914728562223
0	0.3550329868632316
1	0.49293616218995406
2	0.0
0	0.9323790353259132
0	1.9516640273414583
1	0.0
0	0.8123896112919864
2	0.0
0	0.7376085773626573
1	0.0
2	0.43523470740661496
